title,plays,prefix,album_display_name,year,year_weight,popularity_weight,hybrid_weight
Polygondwanaland,558000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.004193218708668991,0.003259415900807571
The Castle In The Air,254000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.001908741132619935,0.0021171771127830434
Deserted Dunes Welcome Weary Feet,394000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.002960803174221474,0.0026432081335838126
Inner Cell,461000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.0034642900084164963,0.002894951550681324
Loyalty,491000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.003689731874473969,0.00300767248371006
Horology,333000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.0025024047132379463,0.0024140089030920487
Tetrachromacy,301000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.002261933389443309,0.0022937732411947302
Searching...,183000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.0013751953829505832,0.0018504042379483673
The Fourth Colour,331000.0,polygondwanaland,Polygondwanaland,2017,0.0023256130929461515,0.0024873752555007816,0.0024064941742234667
Beginner’s Luck,1000000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.007514728868582421,0.004920170980764286
Greenhouse Heat Death,355000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.00266772874834676,0.0024966709206464557
Barefoot Desert,189000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.0014202837561620777,0.0018729484245541147
Muddy Water,355000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.00266772874834676,0.0024966709206464557
Superposition,164000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.0012324155344475172,0.0017790143136968343
Down the Sink,167000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.0012549597210532643,0.001790286406999708
The Great Chain of Being,158000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.0011873271612360225,0.001756470127091087
The Last Oasis,288000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.0021642419141517373,0.0022449275035489446
All Is Known,412000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.003096068293855958,0.0027108406934010544
I’m Sleepin’ In,270000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.0020289767945172537,0.002177294943731703
The Wheel,216000.0,gumboot_soup,Gumboot Soup,2017,0.0023256130929461515,0.001623181435613803,0.0019743972642799774
Fishing For Fishies,2100000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.015780930624023085,0.00944087404064231
Boogieman Sam,674000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.0050649272574245525,0.004082872357343044
The Bird Song,204000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.001533004689190814,0.0023169110732261747
Plastic Boogie,222000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.0016682698088252975,0.0023845436330434166
The Cruel Millennial,143000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.0010746062282072863,0.002087711842734411
Real's Not Real,271000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.002036491523385836,0.0025686544903236854
This Thing,416000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.0031261272093302873,0.003113472333295911
Acarine,430000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.0032313334134904414,0.0031660754353759883
Cyboogie,1700000.0,fishing,Fishing for Fishies,2019,0.003100817457261535,0.012775039076590116,0.007937928266925826
Planet B,472000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.003546952025970903,0.003323884741616219
Mars For The Rich,423000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.0031787303114103643,0.0031397738843359497
Organ Farmer,908000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.0068233738126728385,0.004962095634967187
Superbug,330000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.002479860526632199,0.0027903389919468674
Venusian 1,270000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.0020289767945172537,0.0025648971258893944
Perihelion,373000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.002802993867981243,0.002951905662621389
Venusian 2,212000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.0015931225201394734,0.0023469699887005042
Self-Immolate,1700000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.012775039076590116,0.007937928266925826
Hell,356000.0,infest,Infest the Rats' Nest,2019,0.003100817457261535,0.0026752434772153422,0.0028880304672384387
